Latent_Dim,MSE_Loss,Accuracy,Training_Time_sec
2,0.03861128661752967,70.24000000000001,483.3461353778839
4,0.032642833197779976,76.94,590.6894056797028
8,0.026742014247933616,80.05,566.9409387111664
16,0.021334477354917687,83.17999999999999,456.4109663963318
32,0.016976660848750026,85.64,482.3213472366333
64,0.014050876047662305,87.33999999999999,497.69203209877014
128,0.011684047308324091,88.35,475.45366048812866
256,0.009793928174106667,88.99000000000001,485.20056986808777
300,0.010187388273894482,87.37,395.8468563556671
400,0.009272856735493369,88.88000000000001,457.4314618110657
512,0.009352915334369978,88.58,435.3120057582855
1024,0.009053875937524354,88.22,561.5305376052856
