Latent_Dim,MSE_Loss,Accuracy,Training_Time_sec
2,0.05595274,7.09,1.6343181133270264
4,0.051421694,15.69,1.5271220207214355
8,0.046028383,29.57,1.5224030017852783
16,0.03985255,44.07,1.5729389190673828
32,0.03314757,55.55,2.0719339847564697
64,0.026348904,64.29,2.6843230724334717
128,0.019650344,69.35,3.6362829208374023
256,0.013194583,72.41,4.128993034362793
512,0.007223661,73.95,7.189926862716675
